speciesKey,species,scientificName,genus,family,order,class,numberOfOccurrences,iucnRedListCategory
9188840,Epilobium ciliatum,Epilobium ciliatum Raf.,Epilobium,Onagraceae,Myrtales,Magnoliopsida,8888,LC
2927208,Mentha aquatica,Mentha aquatica L.,Mentha,Lamiaceae,Lamiales,Magnoliopsida,8876,LC
5637611,Leucadendron salignum,Leucadendron salignum P.J.Bergius,Leucadendron,Proteaceae,Proteales,Magnoliopsida,8865,LC
3191157,Drosera intermedia,Drosera intermedia Hayne,Drosera,Droseraceae,Caryophyllales,Magnoliopsida,8859,
3152268,Malvastrum coromandelianum,Malvastrum coromandelianum (L.) Garcke,Malvastrum,Malvaceae,Malvales,Magnoliopsida,8857,
5415065,Pinguicula vulgaris,Pinguicula vulgaris L.,Pinguicula,Lentibulariaceae,Lamiales,Magnoliopsida,8836,LC
2891779,Impatiens noli-tangere,Impatiens noli-tangere L.,Impatiens,Balsaminaceae,Ericales,Magnoliopsida,8829,LC
5331343,Viola rafinesquei,Viola rafinesquei Greene,Viola,Violaceae,Malpighiales,Magnoliopsida,8811,
2775788,Yucca baccata,Yucca baccata Torr.,Yucca,Asparagaceae,Asparagales,Liliopsida,8798,LC
3189525,Hypericum androsaemum,Hypericum androsaemum L.,Hypericum,Hypericaceae,Malpighiales,Magnoliopsida,8797,
2856745,Allium cernuum,Allium cernuum Roth,Allium,Amaryllidaceae,Asparagales,Liliopsida,8794,
2925901,Buglossoides arvensis,Buglossoides arvensis (L.) I.M.Johnst.,Buglossoides,Boraginaceae,Boraginales,Magnoliopsida,8793,
3152473,Sphaeralcea ambigua,Sphaeralcea ambigua A.Gray,Sphaeralcea,Malvaceae,Malvales,Magnoliopsida,8790,
6437976,Cistus ladanifer,Cistus ladanifer L.,Cistus,Cistaceae,Malvales,Magnoliopsida,8783,
7771613,Andersonglossum virginianum,Andersonglossum virginianum (L.) J.I.Cohen,Andersonglossum,Boraginaceae,Boraginales,Magnoliopsida,8782,
2955772,Lespedeza capitata,Lespedeza capitata Michx.,Lespedeza,Fabaceae,Fabales,Magnoliopsida,8780,
3033647,Enemion biternatum,Enemion biternatum Raf.,Enemion,Ranunculaceae,Ranunculales,Magnoliopsida,8776,
6369862,Viburnum cassinoides,Viburnum cassinoides L.,Viburnum,Viburnaceae,Dipsacales,Magnoliopsida,8753,
2753218,Lilium philadelphicum,Lilium philadelphicum L.,Lilium,Liliaceae,Liliales,Liliopsida,8679,
8672564,Castilleja miniata,Castilleja miniata Douglas,Castilleja,Orobanchaceae,Lamiales,Magnoliopsida,8670,
2928394,Convolvulus equitans,Convolvulus equitans Benth.,Convolvulus,Convolvulaceae,Solanales,Magnoliopsida,8667,
3152720,Sidalcea malviflora,Sidalcea malviflora (DC.) A.Gray ex Benth.,Sidalcea,Malvaceae,Malvales,Magnoliopsida,8666,
3132617,Pluchea odorata,Pluchea odorata (L.) Cass.,Pluchea,Asteraceae,Asterales,Magnoliopsida,8657,
2888424,Dendromecon rigida,Dendromecon rigida Benth.,Dendromecon,Papaveraceae,Ranunculales,Magnoliopsida,8651,LC
4924659,Leonotis nepetifolia,Leonotis nepetifolia (L.) R.Br.,Leonotis,Lamiaceae,Lamiales,Magnoliopsida,8637,
3033951,Menispermum canadense,Menispermum canadense L.,Menispermum,Menispermaceae,Ranunculales,Magnoliopsida,8632,
5358922,Trifolium willdenovii,Trifolium willdenovii Spreng.,Trifolium,Fabaceae,Fabales,Magnoliopsida,8629,
2925562,Vitex agnus-castus,Vitex agnus-castus L.,Vitex,Lamiaceae,Lamiales,Magnoliopsida,8627,DD
7311306,Daphne gnidium,Daphne gnidium L.,Daphne,Thymelaeaceae,Malvales,Magnoliopsida,8616,
7629056,Eriodictyon californicum,Eriodictyon californicum (Hook. & Arn.) Greene,Eriodictyon,Namaceae,Boraginales,Magnoliopsida,8613,
2891677,Oxalis dillenii,Oxalis dillenii Jacq.,Oxalis,Oxalidaceae,Oxalidales,Magnoliopsida,8608,
2989228,Rubus pubescens,Rubus pubescens Raf.,Rubus,Rosaceae,Rosales,Magnoliopsida,8604,LC
2926074,Lithospermum incisum,Lithospermum incisum Lehm.,Lithospermum,Boraginaceae,Boraginales,Magnoliopsida,8597,
2926901,Teucrium scorodonia,Teucrium scorodonia L.,Teucrium,Lamiaceae,Lamiales,Magnoliopsida,8590,
3171947,Verbascum lychnitis,Verbascum lychnitis L.,Verbascum,Scrophulariaceae,Lamiales,Magnoliopsida,8589,
7484581,Desmanthus illinoensis,Desmanthus illinoensis (Michx.) MacMill. ex B.L.Rob. & Fernald,Desmanthus,Fabaceae,Fabales,Magnoliopsida,8571,
2926572,Physostegia virginiana,Physostegia virginiana (L.) Benth.,Physostegia,Lamiaceae,Lamiales,Magnoliopsida,8537,
3169001,Morella pensylvanica,Morella pensylvanica (Mirb.) Kartesz,Morella,Myricaceae,Fagales,Magnoliopsida,8524,LC
3172296,Ligustrum obtusifolium,Ligustrum obtusifolium Siebold & Zucc.,Ligustrum,Oleaceae,Lamiales,Magnoliopsida,8516,
3098951,Cosmos sulphureus,Cosmos sulphureus Cav.,Cosmos,Asteraceae,Asterales,Magnoliopsida,8513,
5346998,Astragalus glycyphyllos,Astragalus glycyphyllos L.,Astragalus,Fabaceae,Fabales,Magnoliopsida,8493,
3002193,Rosa acicularis,Rosa acicularis Lindl.,Rosa,Rosaceae,Rosales,Magnoliopsida,8493,LC
2881630,Quercus marilandica,Quercus marilandica (L.) Münchh.,Quercus,Fagaceae,Fagales,Magnoliopsida,8485,LC
2928514,Ipomoea pandurata,Ipomoea pandurata (L.) G.Mey.,Ipomoea,Convolvulaceae,Solanales,Magnoliopsida,8483,
2985865,Hylotelephium telephium,Hylotelephium telephium (L.) H.Ohba,Hylotelephium,Crassulaceae,Saxifragales,Magnoliopsida,8478,
5361866,Ulmus glabra,Ulmus glabra Huds.,Ulmus,Ulmaceae,Rosales,Magnoliopsida,8477,DD
